natural_command,bash_command
display all the text files in the current folder and discard all the errors.,"find -name ""*.txt"" 2>>/dev/null"
"Print the list of all regular files on the system using ""echo""",find / -type f -exec echo {} \;
Find files/directories named blah  under current directory,find ./ -iname blah
find all the text files in the file system and search only in the disk partition of the root.,"find / -mount -name ""*.txt"""
"search for the directory ""uploads"" in current folder and change the permission of the folder and all the files to 755",find . -type d -name 'uploads' -print0 | xargs -0 chmod -R 755
Find all directories under media/ directory and change their permission to 700,find media/ -type d -exec chmod 700 {} \;
Find files/directories named 'foo.bar' under './dir1' and './dir2' directory tree,find ./dir1 ./dir2 -name foo.bar -print
find all executable files in /home directory.,find  /home -type f -perm /a=x
Find command will display top 5 small files from curent directory . most probably you will get ZERO  bytes files .,find . -type f -exec ls -s {} \; sort -n |head -5
find all the files in current folder which have been updated in the last 60 minutes,find . -mmin -60
Find any files in the current directory and its sub-directories that were last accessed more than 7 days or are larger than 20480 blocks in size.,find . -atime +7 -o -size +20480 -print
"Remove the regular files from the current directory that were last modified on November, 22","find -maxdepth 1 -type f -newermt ""Nov 22"" \! -newermt ""Nov 23"" -delete"
Find all *foo files/directories under current directory,find . -name '*foo'
Remove trailing whitespaces in .txt files from the current directory tree,find . -type f -name '*.txt' -exec sed --in-place 's/[[:space:]]\+$//' {} \+
Print a summary of the command-line usage of find,find --help
find all files that do not have read permission to all,find . -type f ! -perm -444
Find all SUID files in entire file system,find / -perm +u=s
find all the text files in the current folder and display their Permissions and size along with their name,"find . -name ""*.txt"" -printf ""%M %f \t %s bytes \t%y\n"""
find all normal/regular files in the current directory,find . -type f -print
"Finds string with text ""string to be searched"" in any cased files like ""*.cs"" recursively in a current folder.","find ./ -type f -iname ""*.cs"" -print0 | xargs -0 grep ""content pattern"""
Find all the files called FindCommandExamples.txt of owner root,find / -user root -name FindCommandExamples.txt
Find files under /usr that are the same age or older than file `FirstFile',find /usr ! -newer /FirstFile -print
"Search the /home/sdt5z/tmp directory tree for files named ""accepted_hits.bam""","find /home/sdt5z/tmp -name ""accepted_hits.bam"""
Find all hidden files in the current directory,"find . -type f -name "".*"""
Find recursively the latest modified file in the current directory,"find . -type f | sed 's/.*/""&""/' | xargs ls -E | awk '{ print $6,"" "",$7,"" "",$9 }' | sort | tail -1"
"Copy all "".xml"" files in the current directory tree to ""/new/parent/dir"" preserving the directory hierarchy",find . -name \*.xml -print0 | cpio -pamvd0 /new/parent/dir
find all jpg files in current folder,"find . -type f -name ""*.JPG"""
display all regular/normal files in the current folder ending with the word ummy,find -type f -name *ummy
"display the base name of all the "".NEF"" files in the current folder","find . -name ""*.NEF"" -exec basename \{\} .NEF \;"
"Search the current directory recursively for files containing ""needle text""","find . -type f -print0 | xargs -0 grep -I ""needle text"""
"Change string ""searc"" to ""replace"" in all files in directory hierarchy",find . -type f -exec sed -i 's/searc/replace/g' {} \;
find all the files in the current folder that have been modified exactly 24*3 hours ago,find ./ -mtime 3
Search the current directory tree for hidden files,find .*
display all the regular files in the current folder that are bigger than 10KB,find . -type f -size +10k
change the group of all the files in the folder /u/netinst/ to staff,find /u/netinst -print | xargs chgrp staff
"Find all files called ""INPUT.txt"" in the current directory tree and remove lines starting with # in them, saving backup copies as INPUT.txt.bak",find . -type f -name INPUT.txt -print0 | xargs -0 -I {}  sed -i.bak '/^#/d' {}
"Remove the .jpg files from the current directory whose names match regular expression "".+-[0-9]+x[0-9]+\.jpg""","find . -type f -regex "".+-[0-9]+x[0-9]+\.jpg"" -exec rm -rf {} \;"
"set alias ""ff"" for command ""find . -name $1""",alias ff=find . -name $1
Find all file which have more the 2 hard link,find .  -type f -links +2 -exec ls -lrt {} \;
Remove trailing whitespaces in TXT files from the current directory tree,"find . -iname '*.txt' -type f -exec sed -i '' 's/[[:space:]]\{1,\}$//' {} \+"
"Search for file names with ""bad"" characters in the current directory and delete the files.","find . -name '*[+{;""\\=?~()<>&*|$ ]*' -maxdepth 0 -exec rm -f '{}' \;"
"Find all files changed on the 29th of September, 2008, starting from the current directory",find . -type f -newerct 2008-09-29 ! -newerct 2008-09-30
"Print newline, word, and byte counts of each '*.java' file within current directory, and total newline, word, and byte counts",find . -name \*.java | tr '\n' '\0' | xargs -0 wc
search for the word LOG in all the files in the folder ~/jsmith,find ~jsmith -exec grep LOG '{}' /dev/null \; -print
display the names without extensions of all the data files in current folder which have not been changed in the last 60 mins,"find ./ -name ""*.dat"" -type f -cmin +60 -exec basename {} \;"
"Remove the .jpg files from the current directory whose names match regular expression "".+-[0-9]+x[0-9]+\.jpg""","find . -type f -regex "".+-[0-9]+x[0-9]+\.jpg"" | xargs rm"
display all the regular files in the current folder that are exactly 10KB,find . -type f -size 10k
find all read me files in a folder,find /usr/share/doc -name README
rename all the png files to jpg files in the current fodler,"find . -name ""*.png"" -print0 | sed 'p;s/\.png/\.jpg/' | xargs -0 -n2 mv"
"search for the word ""slrn"" in all the files in the folder $HOME/html/andrews-corner",find $HOME/html/andrews-corner -exec grep -q 'slrn' '{}' \; -print
Find and show all files in the current directory tree that are smaller than 500 kB,find . -size -500k
Convert *.au files to *.wav files using `sox',"find -type f -name '*.au' | awk '{printf ""sox %s %s\n"",$0,$0"".wav"" }' | bash"
"Prints $m latest modified files within the $d folder, using $f format for printing timestamp.","find ""$d"" -type f -printf ""%T@ :$f %p\n"" | sort -nr | cut -d: -f2- | head -n""$m"""
Find all files under $d directory  that are executable by owner and print only their names,find $d -maxdepth 1 -perm -100 -type f | sed 's#.*/##'
Find every JavaScript file in the wordpress directory tree,find wordpress -name '*js'
Filnd all files in root directory with 777 permission and change permision 644  with chmod commad .,find / -type f -perm 777 -print -exec chmod 644 {} \;
delete all the empty directories in the current folder,find . -type d -empty -exec rmdir {} \;
change permissions of all the script files in a directory,"find /home/john/script -name ""*.sh"" -type f -exec chmod 644 {} \;"
force remove all the directories with the name logs in the folder /var/www,find /var/www -type d -mtime 0 -name logs -exec sudo rm -fr {} \;
"Find all files named ""file.ext"" in the current directory tree and print the path names of the directories they are in","find . -name ""file.ext"" -execdir pwd ';'"
Find one file or directory in the current directory whose name matches the pattern given as a variable $a,"find . -maxdepth 1 -name ""$a"" -print -quit"
find files in current directory that names are game,find . -name game
Rename all *.txt regular files in the current directory tree to *.abc,find . -type f -iname '*.txt' -print0 | xargs -0 rename .txt .abc
find the type of all the regular/normal files in the current folder,find . -type f | xargs file
find all txt files under the current folder except ./misc folder,find . -path ./misc -prune -o -name '*.txt' -print
Find files/directories named<filetype> under current directory which were accessed less than 5 days ago,"find -name ""<filetype>"" -atime -5"
Find all *.py  files/directories under dir directory ignoring .git path,find dir -not -path '.git' -iname '*.py'
Compress .log files in /var and below on an individual basis,find /var -iname \*.log -exec bzip {} \;
Return all of the .conf files in Pat's user folder and subdirectories,"find /home/pat -iname ""*.conf"""
find all CSS files that do something with your HTML ID #content,"find . -name ""*.css"" -exec grep -l ""#content"" {} \;"
search for files which are writable by both their owner and their group,find . -perm -220
display a list of all regular/normal files in the current folder,find . -type f -ls
"search for the regular/normal file ""myfile"" in the current folder excluding search in the paths of ""work"" and ""home"" sub directories",find .  \  -prune -o -name myfile -type f -print
Print your/dir if it's empty,find your/dir -prune -empty
Replaces any occurences of '*favicon.ico*' in any subfolder with file '/root/favicon.ico'.,find . | grep favicon\.ico | xargs -n 1 cp -f /root/favicon.ico
display all pdf files in the current folder,find . -name *.pdf
Find files that are 100k,find -size 100k
Find all empty files in the current directory and delete them,find . -type f -maxdepth 1 -empty -print0 | xargs -0 /bin/rm
"replace the word foo to bar in the current folder in all the regular/normal files containing the word ""baz"" in their name (does not update the file)","find . -type f -name ""*baz*"" -exec sed -i 's/foo/bar/g' {} +"
Find all files owned by group `group2',find / -group group2
List all files/directories under current directory,find . -print
"display all directories in the folder ""$ORIG_DIR""","find ""$ORIG_DIR"" -name ""*"" -type d"
search for a word in all the php files in the current folder and display the count of all matching lines.,find . -name \*.php -type f -print0 | xargs -0 -n1 grep -Hn '$test' | wc -l
"Search all files in the current directory tree for ""SearchString"", ignoring .html files and skipping .svn directories",find . \ | xargs -d '\n' grep -Hd skip 'SearchString'
list all regular files which path is not dir1 or dir2,"find ! -path ""dir1"" ! -path ""dir2"" -type f"
Generate UUIDs for the files from the current directory tree,"find . -exec printf '%s\t' {} \; -exec uuidgen \; | awk -F '\t' '{ sub; print $2, $1 }' | sort -k2"
change the owner of the files which belong to the group 1000 to username and modify only the symbolic link not the originally pointed file,find -gid 1000 -exec chown -h :username {} \;
Find all hidden files under /tmp,"find /tmp -type f -name "".*"""
Remove all *.tmp files from the /tmp directory tree,"find /tmp -name ""*.tmp"" -print0 | xargs -0 rm"
find all the files in the current folder which have the word cache in them and do not search in the sub directories of the folder.,find . -name 'cache*' -depth -exec rm {} \;
find all the files in the home folder which have been modified after a file,find $HOME -newer ~joeuser/lastbatch.txt
"Search the *.pdf files from directory tree PDFs/ for text ""perry sound"", ignoring the case","find PDFs/ -name '*.pdf' -exec sh -c 'pdftotext ""{}"" - | grep -i --with-filename --label=""{}"" --color ""perry sound""' \;"
"Create a symbolic link in the current directory for each file under the directories matching ""../[12][0-9][0-9]""",find ../[12][0-9][0-9][0-9] -type f -exec ln -s {} \;
Find all files/directories with permission $permissions under $directory directory tree,"find ""$directory"" -perm ""$permissions"""
Counts all files in a current folder and subfolders.,find -type f -printf '\n' | wc -l
Search the .java files from the current directory tree for TODO lines,"find . -name ""*.java"" -exec grep -i -n TODO {}  \;"
Recursively finds and compresses all files in a current folder.,find . -type f -exec bzip2 {} +
display all sqlite files in the current directory along with their timestamp,"find ./ -name ""*.sqlite"" -printf '%Tc %p\n'"
"Deletes folder like /tmp/*/* or deeper, older than +7 days if they don`t contain files or other folders.",find /tmp/*/* -mtime +7 -type d -exec rmdir {} \;
"Find all .php files in all directory trees matching pattern `/srv/www/*/htdocs/system/application/' and search those files for string ""debug (""","find /srv/www/*/htdocs/system/application/ -name ""*.php"" -exec grep -H ""debug ("" {} +"
Search the entire file hierarchy for files ending in '.old' and delete them.,"find / -name ""*.old"" -exec /bin/rm {} \"
change the permission of all directories in current folder to 755.,find . -type d -exec chmod 755 {} \;
Move all *.pdf.marker files and their corresponding *.pdf files under ${INPUT_LOCATION} to ${OUTPUT_LOCATION},find $INPUT_LOCATION -name '*.pdf.marker' | xargs -i bash -c 'mv ${0%.marker} $0 $1' {} $OUTPUT_LOCATION
List the files in the /etc directory tree containing text '128.200.34.',find /etc -type f -print | xargs grep -il '128\.200\.34\.'
Print a sorted list of the extensions of the regular files from the current directory tree with counts per extension,find . -type f | perl -ne 'print $1 if m/\.$/' | sort | uniq -c | sort -n
Find all catalina* files/directories under current directory,find -name 'catalina*'
Fix files to default permissions 644,find . -type f -exec chmod 644 {} \;
"search for ""flac"" files in current folder using regular expressions","find ./ -regex ""./cmn-.\.flac"""
Find files and directories owned by xuser1 and change their ownership to user2,find . -user xuser1 -exec chown -R user2 {} \;
Find files whose data was modified within the given days of the month,find ./ -daystart -mtime -10 -and -mtime +1
Remove regular files whose names match Perl regular expression '\w+-\d+x\d+\.\w+$' from the current directory tree,find -type f |  grep -P '\w+-\d+x\d+\.\w+$' | xargs rm
Find the empty directories and files under current directory,find -empty
"Create an empty file ""foo"" in each directory under the current directory containing a file named ""bar"".","find -name ""bar"" -execdir touch foo \;"
"Find all files/directories in entire file system that are owned by ""syslog"" user",find / -user syslog
Create a script to monitor system file changes and send an alert if any are detected.,"#!/bin/bash

changed_files=$(find / -xdev -mtime -1)
if [ -n ""$changed_files"" ]; then
    echo ""System file changes detected.""
    # Send alert here
fi"
Search for 'example' in all regular files from the current directory,find -maxdepth 1 -type f | xargs grep -F 'example'
Change the permissions of all regular files whose names end with .mp3 in the directory tree /var/ftp/mp3,find /var/ftp/mp3 -name '*.mp3' -type f -exec chmod 644 {} \;
"Find files/directories under current directory matching the posix-egrep type regex "".+\.$"" in their names","find . -regextype posix-egrep -regex "".+\.$"""
search for files in the current folder using name patterns,find . -name '[mM][yY][fF][iI][lL][eE]*'
find all jar files in current folder and search for a file in all these jar's and display the jar names along with searched file,"find . -name ""*.jar"" -print -exec jar -tf {} \; | awk '{ifjar=$1;else ifarr[jar]=$1;}END{for{print i "" contains "" arr[i]}}'"
"display all the regular files in current folder excluding all the directories and all the sub directories having ""normal"" in their name","find . \( \( -path ""\.?.*"" -type d \) -o -path ""*normal*"" \) -prune -o \( -type f \) -print"
List all *.txt files/directories under current directory,"find . -name ""*.txt"" -print"
"Compress all files in the ""$FILE"" directory tree that were last modified 30 days ago and have not already been compressed with gzip",find $FILE -type f -not -name '*.gz' -mtime 30 -exec gzip {} \;
Print content of all files found regarding seach options '[whatever]',find [whatever] -print0 | xargs -0 cat
display a list of all java or jsp files in the current folders,find . \( -name '*jsp' -o -name '*java' \) -type f -ls
Search the entire file hierarchy for files ending with '~' and print all matches except for those with '/media' in their pathnames.,"find / -name ""*~"" | grep -v ""/media"""
Find all files beneath the current directory that end with the extension .java and contain the characters String ignoring case.  Print the name of the file where a match is found.,"find . -type f -name ""*.java"" -exec grep -il string {} \;"
search for a word in all the files in the current directory,find . -exec grep chrome {} \;
Search the current directory tree for regular files changed on the 10th of September,find ./ -type f -ls |grep '10 Sep'
Find all your text files,"find . -name ""*.txt"" -print"
Execute `somecommand' on each file from the current directory tree with the environment variable f set to the filename,find . -exec env f={} somecommand \;
Search for all files in the /home directory tree that have the same inode number,find /home -xdev -inum 2655341
Find out if there are any files on the system owned by user `account',find / -path /proc -prune -o -user account -ls
Remove sess_* files that were modified more than 2 days ago,find sess_* -mtime +2 -exec rm {} \;
Find all files matching pattern '.#*' in the current directory tree,find -iname '.#*'
Remove all files containing 'sample'  in their names under '/home/user/Series' directory tree,"/usr/bin/find /home/user/Series/ -iname ""*sample*"" -exec rm {} \;"
Search for 'class Pool' in all *.java  files under current directory,find -iname '*.java'|xargs grep 'class Pool'
"Search the current directory tree for regular files that contain ""string""",find . -type f -print0 | xargs -0 grep string
Find all files/directories under $1 which have at least write permission for their owner and set write permission for group for these files/directories,find $1 -perm -u+w -exec chmod g+w {} \;
find all the files that have been modified today,find . -type f -mtime 0
"find all the files ending with "".coffee"" in the current folder and search for the first occurence of the word ""re"" in each line",find . -name '*.coffee' -exec awk '/re/ {print;exit}' {} \;
Search /var for files matching regular expression '.*/tmp/.*[0-9]*.file',find /var -regex '.*/tmp/.*[0-9]*.file'
search  character special files called ' backup '  from  /usr directory downwards and print them .,find /usr -type c -name backup -print
Find all *.jpg files and copy them to /,find / -type f -name *.jpg  -exec cp {} . \;
Show find's version,find --version
Find the file whose inode number is 1316256,find . -inum 1316256
display all symbolic links in current folder,"find . -lname ""*"""
List all .svn files/directories under current directory,find . -name .svn -exec ls {} \;
Display the sizes and filepaths of all files/directories with '.undo' extension under current directory tree,find -name *.undo -print0 | du -hc --files0-from=-
Find all the files in file system which are accessed 50 days back,find / -atime 50
Recursively removes all folders named '.svn' in a current folder.,find . -type d -name .svn -print0|xargs -0 rm -rf
search for all Scala files under the current directory that contain the string null,"find . -type f -name ""*.scala"" -exec grep -B5 -A10 'null' {} \;"
create a tar file of all the songs on my system that have been modified in the last 180 days,find . -name -type f '*.mp3' -mtime -180 -print0 | xargs -0 tar rvf music.tar
Find recursively regular files in the current directory tree,find -type f -print0
"Recursively rename all files under /your/target/path replacing 'special' with 'regular' - all file/diretory names may not include spaces, and directory names containing such files may not contain the word 'special' in their name.",find /your/target/path/ -type f -exec rename 's/special/regular/' '{}' \;
display the count of all directories in a folder excluding hidden files,find /path/to/directory -type d \! -name . -prune -exec printf x \; | wc -c
"Execute find with ""$@"" arguments","exec /usr/bin/find ""$@"""
Find all files named 'Makefile' in the /usr/ports directory tree and count the number of lines in them matching regular expression '^MASTER_SITE_SUBDIR.*\.\./.*authors',find /usr/ports/ -name Makefile -exec grep '^MASTER_SITE_SUBDIR.*\.\./.*authors' '{}' '+' | wc -l
find all the regular/normal files in the current direcoty which have not been accessed in the last 30 days.,find . -type f -atime +30 -print
"display all the files in the file system which do not belong to the user ""wnj"" and which are modified before the file ""ttt""",find / \! \ -print
Delete all .svn directories under current directory,find . -type d -name .svn -print0|xargs -0 rm -rf
search for the regular/normal file firefox or thunderbird or seamonkey in the entire file system excluding search in the directories share and those starting with 10_Recommended and discard all the errors,find / \ -prune -o -type f \ -print 2>/dev/null
Search for 'mystring' in all *.txt (case insensitive) files under current directory,find . -iname *.txt -exec egrep mystring \{\} \;
Find all regular files under '/home/john/scripts' directory tree excluding files with '.ksh' extension,"find /home/john/scripts -type f -not -name ""*.ksh"" -print"
find all the html files in the current folder and delete a line,"find ./ -type f -name '*.html' | xargs sed -i '1,/sblmtitle/d'"
Find & replace broken symbolic links,find -L . -type l -delete -exec ln -s new_target {} \;
Find all regular files in the current directory tree that have been modified within the last 10 minutes,find . –type f -mmin -10
Find all filenames ending with .c in the current directory tree,"find -name ""*.c"""
Compress all directories found in $LOGDIR wherein a file's data has been modified within the last 24 hours,find $LOGDIR -type d -mtime +0 -exec compress -r {} \;
Search /var/tmp for files larger than 30 MB modified 31 days ago,find /tmp /var/tmp -size +30M -mtime 31 -ls
find all the symbolic links in the current folder and check the file type and display the output of those files which are broken,find ./ -type l -exec file {} \; |grep broken
Remove all *~ files under dir,find dir -name \*~ | xargs echo rm | ksh -s
"Remove all directories called ""test"" from the current directory tree","find -path ""*/test"" -type d -delete"
"Execute zcat on every file matching ""*20120805.gz"" in the current directory and subdirectories",find . -name *20120805.gz -exec zcat {} \;
"Create tar archive ""foo.tar"" and copy all files from directory tree /tmp/a1 to it",find /tmp/a1 | xargs tar cvf foo.tar
Copy a comlex directory tree from one machine o another while preserving copy permissions and ownership,find . -depth -print | cpio -o -O /target/directory
Find all files named 'aaa.txt' under current directory tree and display their contents,cat `find . -name aaa.txt`
Update timestamps of all files and directories under directory /path/to/dir.,find /path/to/dir -print0 | xargs -0 touch
display all the php files in the current folder which do not have the permission 644,"find . -type f -name ""*.php"" ! -perm 644"
find all the files that were modified two days ago,find . -daystart -ctime 1 -type f
Give all directories in the /path/to/base/dir tree read and execute privileges,find /path/to/base/dir -type d -print0 | xargs -0 chmod 755
display all the php files in the entire file system,"find / -name ""*.php"""
"find all  files that match ""[a-f0-9\-]{36}\.jpg"" of grep","find . * | grep -P ""[a-f0-9\-]{36}\.jpg"""
Find the total size of *.jpg files within the current directory tree,"find . -iname ""*.jpg"" -ls |perl -lane '$t += $F[6]; print $t/1024/1024/1024 . "" GB""'"
Find all pdf files under /dir/containing/unsigned with null character as the delimiter,find /dir/containing/unsigned -name '*.pdf' -print0
Search the home directory tree for files modified less than 7 days ago,find $HOME -mtime -7
