bash_code,nl_command,srno
"find . \( -name skipdir1 -prune , -name skipdir2 -prune -o -name ""*.txt"" \) -print",display all the text files from the current folder and skip searching in skipdir1 and skipdir2 folders,19763
"find . -regextype sed -regex ""./test[0-9]\{2\}.txt""",Find all files/directories under current directory tree whose names start with 'test' followed by two digits and end with '.txt' extension,11342
"#!/bin/bash

sum_abundant_numbers() {
    limit=""$1""
    sum=0
    for ((i=1; i<=limit; i++)); do
        divisor_sum=0
        for ((j=1; j<i; j++)); do
            if [ $((i % j)) -eq 0 ]; then
                divisor_sum=$((divisor_sum + j))
            fi
        done
        if [ ""$divisor_sum"" -gt ""$i"" ]; then
            sum=$((sum + i))
        fi
    done
    echo ""$sum""
}
sum_abundant_numbers 100",Create a script to find the sum of all abundant numbers up to a given limit.,12365
find -mindepth 3 -maxdepth 5 -name passwd,Find the password file between sub-directory level 2 and 4,1363
find . -name 'fileA_*' -o -name 'fileB_*',"Search the current working directory tree for files whose names start with ""fileA_"" or ""fileB_""",20546
"find . -path ""./foo"" -prune -o -type f -name ""*.html""",display all the html files in the current folder excluding search in the path ./foo,16887
$ join -j 2 -o 1.1 1.2 2.1 < <,"For each line whose second field is the same in both files, output: first field of second file, second field of first file, and first field of second file.",5437
yes | cat | more,"Continuously send ""y"" as input to ""cat"" which outputs to ""more""",20258
find $1 -type f | wc -l,Get the number of regular files in the directory given as the bash script argument $1,6454
find /home -type f -print0 | xargs -0 file,find the type & description of all the regular/normal files in the home folder,7555
mv `ls` somewhere/,"Move all files and directories in the current directory to ""somewhere/""",22761
find . -type d -print0,display all directories in current folder,2278
"echo -e ""$(TZ=GMT+30 date +%Y-%m-%d)\n$(TZ=GMT+20 date +%Y-%m-%d)"" | grep -v $(date +%Y-%m-%d) | tail -1",Filter out current date in current time zone from the GMT+30 and GMT+20 representations of current date and show the last one,13910
find . -size +10k -exec ls -ls {} \+ | sort -nr,"display a long listing of all the files in the current folder in sorted order, which are bigger than 10KB",20243
find . -name '.git' | xargs -n 1 dirname,"Prints list of folders containing '.git', searching recursively from a current folder.",8959
"find . -name ""*.undo"" -ls | awk '{total += $7} END {print total}'",find all the files ending with undo in the current folder and calculate the total size of these files,4642
find . -inum $inum -exec rm {} \;,find the file with inode $inum under the current directory and delete it,1731
find /var/www/ -name wp-config.php -maxdepth 2,Search for the wp-config.php file in /var/www and one level below,11893
"find -name ""*.flac"" -exec ffmpeg -i {} -acodec libmp3lame -ab 128k {}.mp3 \;","find all the "".flac"" files in the current folder and convert them to mp3 with 128k bit rate",16825
find ${1:-.} -mindepth 1 -maxdepth 1 -type d,Find all directories under ${1:-.} directory without descending into any sub-directories,17428
"find ./music -name ""*.mp3"" -print0 | xargs -0 ls",Find all the .mp3 files in the music folder recursively and pass them to the ls command,12888
find . -type d -exec chmod 755 {} \;,Change the permissions of the current directory and all its subdirectories to 755.,8294
find . -name myfile.txt -print,search the file myfile.txt in the current folder,21067
find . -executable -type f,Search the current directory tree for executable regular files,9428
"find /home -type f -name ""*.ext"" -exec sed -i -e ""s/\r$//g"" {} \;","Remove the ""^M"" characters from all *.ext files under /home directory",17440
"find . -name ""*.txt"" -print0 |xargs -0 du -ch",Print the file sizes along with their paths for all *.txt (case insensitive) files/directories under current directory tree,15290
"find . -name '*bills*' -exec grep -H ""put"" {} \;","Search the files residing in the current directory tree whose names contain ""bills"" for ""put""",9624
find /media/New\ Volume/bhajans -maxdepth 1 -type d | xargs -0 mkdir -p,find all the directories in the different folders excluding search in the sub directories and create these folders in the current directory,21156
"cat $filename | sed ""${linenum}p;d"";","Print line number ""${linenum}"" in file ""$filename""",17171
mount /path/to/device /path/to/mount/location -o loop -t vfat,"Mount ""/path/to/device"" on ""/path/to/mount/location"" as a vfat filesystem and a loop back device",14593
find . -type f -iname '*.jpg' -print0 | du -c --files0-from=-,Find the total size of *.jpg files within the current directory tree,12257
"find .|grep ""FooBar""|yargs -l 203 cp --after ~/foo/bar",Find all files/directories under current directory with 'FooBar' in their paths and copy them to ~/foo/bar,15118
find /usr -mtime +356 -daystart,Find all files/directories under '/usr' directory tree that have not been modified in the last 356 days counting days from today,11181
mkdir subdirectory,"Make directory ""subdirectory""",3469
find sourceDir -mindepth 1 -print0 | xargs -0 mv --target-directory=destDir,Move all files from the `sourceDir' directory tree to the `destDir' directory,17480
"OUTPUT=""$(ls -1)""",Saves listing of a current folder in 'OUTPUT' variable.,14634
find . -name *.gif -exec ls {} \;,List all .gif files in the current directory tree,15169
find /tmp  | head,display ten files in the tmp directory,24349
rename 's/^fgh/jkl/' fgh*,"Rename all files in current directory with names starting with ""fgh"" so they start with ""jkl"" instead",19776
find / -type f ! perm 777,find all files without 777 permision,18791
find /root -name FindCommandExamples.txt,"Search the /root directory recursively for files named ""FindCommandExamples.txt""",11512
find /tmp  | head,Print the first 10 files or directories found in the /tmp directory tree by `find',7096
"date +%Y:%m:%d -d ""1 day ago""",Print yesterday's date as yyy:mm:dd,6716
find / -mmin -1,Find files that were modified in less than 1 minute ago,21388
find -user www-data -not -size +100k,Search for all files owned by user www-data that are not larger than 100kb,13197
find /etc -iregex '.*xt.*',Find all files/directories case insensitively containing 'xt' in their names under '/etc' directory tree,15275
find . -name '*.txt' -print0|xargs -0 -n 1 echo,Print the list of .txt files under and below the current directory,23506
echo 'someletters_12345_moreleters.ext' | cut -d'_' -f 2,Extract five digits sequence from a filename with x number of alphanumeric characters followed by the five digit sequence surrounded by a single underscore on either side then another set of x number of alphanumeric characters.,301
"FinalDate=$(date -u -d ""$string2"" +""%s"")",Save the UTC date represented by time string $sting2 as the seconds since epoch to variable 'FinalDate',17923
ls -l | tail -n +2 | head -n1,"Print the second line of output of ""ls -l""",2916
find ./ -type f -exec sed -i '' 's#NEEDLE#REPLACEMENT#' *.php {} \;,search the word NEEDLE and substitute it with REPLACEMENT in all the php files of the current folder,15662
ls -lt | tr -d 0-9,Show long listing of current directory by deleting all digits from the output,18660
read -rn1,Read a single character from standard input and do not allow backslash to escape characters,9607
"mkdir /tmp/A /tmp/B /tmp/C ""/tmp/ dir with spaces""","Make directories ""/tmp/A"", ""/tmp/B"", ""/tmp/C"", and ""/tmp/ dir with spaces""",18478
rsync -Prt --size-only original_dir copy_dir,"Recursively copy ""original_dir"" to ""copy_dir"" preserving file/dir timestamps, displaying progress, and skipping files which match in size, keeps partially transferred files.",17554
"tail -n ""+$"" file",print the line containing TERMINATE and everything after in 'file',21732
ps aux | grep -ie amarok | awk '{print $2}' | xargs kill -9,Immediately terminate all processes whose command or arguments contain 'amarok'.,1713
find . -type f -ls,display a long listing of all the regular/normal files in the current folder,14048
"find . -name ""a"" -type d | xargs rmdir",Finds recursively all folders named 'a' within current folder and removes only ones without files and another folders within.,14228
"yes -- ""-tcp"" | head -n 2","Output two lines of ""-tcp""",19114
"#!/bin/bash

sequence=""ATCGATCG""
complement=$(echo ""$sequence"" | tr ATCG TAGC)
reversed_complement=$(echo ""$complement"" | rev)
echo ""The reverse complement of the sequence is: $reversed_complement""",Create a script to find the reverse complement of a DNA sequence.,16986
find -newermt yesterday -ls,List all files in the current directory tree that were last modified yesterday or later,8014
seq 1 10 | sort -R | tee /tmp/lst |cat < < \ <,Generates a randomly sorted list of numbers from 1 to 10.,13889
find / -newerct '1 minute ago' -print | xargs rm,Remove all files on the system that have been changed within the last minute,3079
"echo ""1 1 2 2 2 5"" | tr ' ' $'\n' | grep -c 2",Count the occurrence of 2 in the string '1 1 2 2 2 5',16441
find /  -type f -group users,Search for regular files of the grooup 'users' in the file system,10035
"find project / src / -name ""* .o"" -exec rm -f {} \;",Delete all files with ' .o' extension in the entire filesystem,3210
"#!/bin/bash

cron_status=$(grep 'CRON' /var/log/syslog | grep -i 'error' | wc -l)

if [ ""$cron_status"" -gt ""0"" ]; then
    echo ""Error in cron job execution detected."" | mail -s ""Cron Job Execution Error Alert"" user@example.com
fi",Create a script to monitor cron job executions and send an alert if any cron job fails to execute.,9682
"find /user/directory/ -name ""*txt"" -mtime 0 -type f -printf '%p: ' -exec tail -1 {} \;",find all text files in user/directory/ which have been modified today and display the last line of these files,11012
find -atime 0,find all the files in the current folder that have been accessed in today,3624
"find . | grep ""FooBar"" | tr \\n \\0 | xargs -0 -I{} cp ""{}"" ~/foo/bar",Find all files/directories under current directory with 'FooBar' in their paths and copy them to ~/foo/bar,20443
"find . -iname ""{EA,FS}_*""","Find all files/directories under current directory that match the case insensitive glob pattern {EA,FS}_*",1079
find . -type f -exec grep 'needle' {} \;,search for a word in all the files in the current directory (case insensitive search),16177
find /usr/bin -type f -mtime -10,Search /usr/bin for regular files that have been modified within the last 10 days,9993
diff -Nar /tmp/dir1 /tmp/dir2/,"Compare files in ""/tmp/dir1"" and ""/tmp/dir2"", treating absent files as empty and all files as text",440
cat a.txt | grep / | sed 's|/[^/]*$||' | sort -u | xargs -d $'\n' mkdir -p,"Make directories and parents as needed for each file path in ""a.txt"" excluding the basename for each path",5554
find / -size +100M -exec /bin/rm {} \;,Search the entire file hierarchy for files larger than 100 megabytes and delete them.,7338
"find . -name ""vmware-*.log"" -exec rm '{}' \;","Remove all files with names like ""vmware-*.log"" from the current directory tree",4339
"find temps/ -name ""thumb.png""",Find all thumb.png files in the temps/ directory tree,14468
"#!/bin/bash

uppercase_count=$(grep -o -E '[[:upper:]]' textfile.txt | wc -l)
lowercase_count=$(grep -o -E '[[:lower:]]' textfile.txt | wc -l)
echo ""Number of uppercase letters: $uppercase_count""
echo ""Number of lowercase letters: $lowercase_count""",Create a script to find the number of uppercase and lowercase letters in a text file.,23168
find . -type f -print | xargs -n 1,List all regular files under current directory,5473
grep ds1337 /lib/modules/`uname -r`/modules.alias,"Look for any instance of ""ds1337"" in the modules.alias file matching current kernel release",20722
sort set1 set2 | uniq,"Print each line in ""set1"" and ""set2"" that does not exist in the other",13417
mkdir -p es/LC_MESSAGES,"Make directories ""es/LC_MESSAGES"" as needed and do not error if it exists",6613
find . -iname '*sitesearch*' | grep demo,"Search for files with ""sitesearch"" in their names and ""demo"" in their path names",17582
find . -name \*.jpg -exec basename {} \; | uniq -u,Find all *.jpg files under current directory and print only unique names,7302
find . -name ‘*ITM*’,"show all the files in the current folder which has the word ""ITM""",18695
"find /var -maxdepth 2 -type d -exec stat  -c ""%n %y"" {} \;",display the directory name along with the modified time for all the files /var,6400
"sort -nk 2,2 file.dat | tac","Numerically sort file ""file.dat"" by the second word of each line and output from greatest value to least value",17153
"find ""${DIR_TO_CLEAN?}"" -type f -mtime +${DAYS_TO_SAVE?} -print0",Find files in $DIR_TO_CLEAN that are older than $DAYS_TO_SAVE days and print them with null character appended to their paths,674
find . -name '*.def' | sed 's/\(.*\)/\1.out/' | xargs touch,"For each .def file under the current directory, create an empty .def.out file with current timestamp.",16581
"ps -A -o pid | xargs -I pid readlink ""/proc/pid/exe"" | xargs -I file dirname ""file""","Finds PIDs of all running processes, gets executable binary of each process, and prints containing folder of each binary.",4280
find . -type f -mtime +31 -print0 | xargs -0 -r rm -f,Find all the regular files under current directory tree that have not been modified in the last 31 days and delete them,13488
find /home/david -mtime -2 -name '*.c',"find all the "".c"" files in the folder /home/david which have been modified in the last 48 hours",19434
"find  / -name ""[a-j]*"" -print",Look for files whose names begin with letters a-j,14767
find /path/to/dir -type f -exec chmod 644 {} +,Find all files under /path/to/dir and change their permission to 644,21870
find $ARCH1 -ls,List all files under and below the directory given as variable $ARCH1,14711
pstree -sp $$,Prints process tree of a current process with id numbers and parent processes.,9786
reads=$,"Store content of uncompressed file ""$file.fastq"" in variable ""reads""",10115
find . -atime +30 -print,Find all files in the current directory and its sub-directories that have not been assessed in more than 30 days.,14300
find . -newer httpd.conf,Find all files newer than httpd.conf under and below the current directory,18873
find . -user daniel -type f -name *.jpg ! -name autumn*,Find user daniel's files of type jpeg without `autumn' in the name,23923
"find dir -type f -printf ""f %s %p\n""","Print the names and sizes of regular files residing in the ""dir"" directory tree",23935
"tac infile.txt | sed ""s/a/c/; ta ; b ; :a ; N ; ba"" | tac",replaces the last occurrence of 'a' with 'c',14064
"paste tmp/sample-XXXX.{tim,log}","Print each line in parallel in files ""tmp/sample-XXX.tim"" and ""tmp/sample-XXX.log""",18551
set | grep -A999 '^foobar ()' | grep -m1 -B999 '^}',"Display bash function definition of ""foobar""",12899
find /etc/apache-perl -newer /etc/apache-perl/httpd.conf,Search the /etc/apache-perl directory tree for files newer than /etc/apache-perl/httpd.conf,24212
"find /home/dm -name ""*uniform*""",Look in /home/dm and below for files with 'uniform' in their names,17784
"cal -h | sed ""s/\<$\>/""$'\033\[94m&\033\[0m/g'",Highlights current day in a month calendar with color.,24425
popd,Pops the top directory of dirs stack and changes to it.,15430
"find -type f -regex "".*/.*\.\(shtml\|css\)""","Search the current directory tree for regular files whose names end in "".shtml"" or "".css""",22743
wc `find`,"Print line, word and byte count for each file recursively and also show the total counts",8021
echo $(basename $),Print symlink resolved script file name,4059
find -mtime -1,find all the files that have been modified in the last 1 day ago,11922
"cal -h|sed -r ""s/\b$(date|cut -d' ' -f3)\b/*/""","Prints calendar for a current month, replacing current data with asterisk.",8352
find /home/family/Music -name '*.m4a' -print0 | xargs -0 -i ffmpeg -i {} -acodec libvorbis -aq 6 -vn -ac 2 {}.ogg,Find all *.m4a files under /home/family/Music directory and convert them to ogg,3462
"tmux new-session -s vims -n vim0 -d ""vim foo""",Starts new detached tmux session 'vims' with new windows 'vim0' and opens file 'foo' within.,978
w -h $euids,"Prints information about user $euids currently on machine and its processes, without printing header.",11498
"#!/bin/bash

threshold=100
read_speed=$(iostat -d | awk 'NR==4 {print $3}')
write_speed=$(iostat -d | awk 'NR==4 {print $4}')
if [ ""$read_speed"" -gt ""$threshold"" ] || [ ""$write_speed"" -gt ""$threshold"" ]; then
    echo ""Disk read/write speed exceeds $threshold MB/s.""
    # Send alert here
fi",Create a script to monitor disk read/write speed and send an alert if it exceeds a certain threshold.,22235
"find -name ""*.txt"" 2>>/dev/null",display all the text files in the current folder and discard all the errors.,16465
bind -q complete,Query about which keys invoke the named function,21692
find / -type f -exec echo {} \;,"Print the list of all regular files on the system using ""echo""",21900
find ./ -iname blah,Find files/directories named blah  under current directory,15651
"find / -mount -name ""*.txt""",find all the text files in the file system and search only in the disk partition of the root.,8705
comm -1 -3 file1 file2,Print only strings from file 'file2' that not found in 'file1',21725
"command time -f ""%E real,%U user,%s sys"" ls -Fs",Runs programs and prints formatted summary of system resource usage.,5677
true,Set the exit code to '0'.,8920
"#!/bin/bash

directory=""/path/to/your/directory""
search_string=""your_string""

grep -rnw ""$directory"" -e ""$search_string""",Search for a specific string in files within a directory.,23304
find . -type d -name 'uploads' -print0 | xargs -0 chmod -R 755,"search for the directory ""uploads"" in current folder and change the permission of the folder and all the files to 755",18511
mount -l,Display what flags mount points are mounted with,23459
find media/ -type d -exec chmod 700 {} \;,Find all directories under media/ directory and change their permission to 700,13215
find ./dir1 ./dir2 -name foo.bar -print,Find files/directories named 'foo.bar' under './dir1' and './dir2' directory tree,22675
find  /home -type f -perm /a=x,find all executable files in /home directory.,24178
chmod g+w * ...*,"Add group write permission to all files matching ""*"" or ""...*""",15140
cat log | tr -s [:blank:] |cut -d' ' -f 3-,Replace all sequence of 'blank' characters in file 'log' with a single occurence of such symbol and print space-separated fields of each string but first two fields,89
sort inputfile | uniq | sort -o inputfile,"Sort the lines of the file 'inputfile', keep only the uniq lines and change it in-place",3802
find . -type f -exec ls -s {} \; sort -n |head -5,Find command will display top 5 small files from curent directory . most probably you will get ZERO  bytes files .,18140
find . -mmin -60,find all the files in current folder which have been updated in the last 60 minutes,20906
find . -atime +7 -o -size +20480 -print,Find any files in the current directory and its sub-directories that were last accessed more than 7 days or are larger than 20480 blocks in size.,5103
cat file1 file2 ... file40000 | split -n r/1445 -d - outputprefix,split content all files file1..40000 into pieces per 1445 lines named as outputprefixNNN as digital prefix,15316
"find -maxdepth 1 -type f -newermt ""Nov 22"" \! -newermt ""Nov 23"" -delete","Remove the regular files from the current directory that were last modified on November, 22",21759
find . -name '*foo',Find all *foo files/directories under current directory,3621
find . -type f -name '*.txt' -exec sed --in-place 's/[[:space:]]\+$//' {} \+,Remove trailing whitespaces in .txt files from the current directory tree,17575
"#!/bin/bash

threshold=""100""

network_traffic=$(iftop -t -s 1 | grep 'Total send and receive' | awk '{print $5}')

if [ ""$network_traffic"" -gt ""$threshold"" ]; then
    echo ""Network traffic is too high: $network_traffic KB/s"" | mail -s ""High Network Traffic Alert"" user@example.com
fi",Create a script to monitor network traffic and send an alert if it exceeds a certain threshold.,15222
find --help,Print a summary of the command-line usage of find,7758
find . -type f ! -perm -444,find all files that do not have read permission to all,16817
find / -perm +u=s,Find all SUID files in entire file system,8252
"find . -name ""*.txt"" -printf ""%M %f \t %s bytes \t%y\n""",find all the text files in the current folder and display their Permissions and size along with their name,17538
find . -type f -print,find all normal/regular files in the current directory,14785
env | grep '^GOROOT',List all environment variables (name and value) whose name starts with GOROOT,6092
"find ./ -type f -iname ""*.cs"" -print0 | xargs -0 grep ""content pattern""","Finds string with text ""string to be searched"" in any cased files like ""*.cs"" recursively in a current folder.",13174
"#!/bin/bash

mdadm --detail /dev/md0 | grep -q 'rebuilding' && echo ""RAID array rebuild is in progress."" | mail -s ""RAID Rebuild Alert"" user@example.com",Create a script to monitor system RAID array rebuild status and send an alert if a rebuild is in progress.,23092
find / -user root -name FindCommandExamples.txt,Find all the files called FindCommandExamples.txt of owner root,17835
"rsync -avz -e ""ssh -p $portNumber"" user@remoteip:/path/to/files/ /local/path/","Archive ""user@remoteip:/path/to/files/"" to ""/local/path"" via ssh on port ""$portNumber"" and compressing data during transmission",10836
find /usr ! -newer /FirstFile -print,Find files under /usr that are the same age or older than file `FirstFile',8749
cut -d / -f 4- .exportfiles.text | xargs -n 1 dirname,"Takes path list from '.exportfiles.text' file, cuts off first two path segments and last one.",5712
"find /home/sdt5z/tmp -name ""accepted_hits.bam""","Search the /home/sdt5z/tmp directory tree for files named ""accepted_hits.bam""",19366
"find . -type f -name "".*""",Find all hidden files in the current directory,8291
rsync -aHvz /path/to/sfolder name@remote.server:/path/to/remote/dfolder,"Archive ""/path/to/sfolder"" to ""name@remote.server:/path/to/remote/dfolder"" preserving hard links and compressing the data during transmission",15469
"find . -type f | sed 's/.*/""&""/' | xargs ls -E | awk '{ print $6,"" "",$7,"" "",$9 }' | sort | tail -1",Find recursively the latest modified file in the current directory,10463
seq $(tail -1 file)|diff - file|grep -Po '.*(?=d)',"Print comma separated gaps in file ""file"" that contains new line separated ordered numbers",21400
find . -name \*.xml -print0 | cpio -pamvd0 /new/parent/dir,"Copy all "".xml"" files in the current directory tree to ""/new/parent/dir"" preserving the directory hierarchy",16564
launcherfile=$,"Creates temporary file in $appdir variable with name formatted like expression in variable ${template}, and saves path to it in 'launcherfile' variable.",3459
"find . -type f -name ""*.JPG""",find all jpg files in current folder,11507
find -type f -name *ummy,display all regular/normal files in the current folder ending with the word ummy,19456
paste -d':' *.txt | sed 's/ [^:]*$//;s/ [^:]*:*/ /g;s/://g',Print first column of every line in every *.txt separated by a space,10820
read -s ENTERED_PASSWORD,"Read a line from standard input into variable ""ENTERED_PASSWORD"" without echoing the input",3715
"find . -name ""*.NEF"" -exec basename \{\} .NEF \;","display the base name of all the "".NEF"" files in the current folder",9646
jobs | wc -l,count amount of jobs running,5546
"#!/bin/bash

threshold=""90""

memory_usage=$(free -m | awk '/Mem:/ {print $3/$2 * 100}')

if [ ""$memory_usage"" -gt ""$threshold"" ]; then
    echo ""Memory usage is high: $memory_usage%"" | mail -s ""Memory Usage Alert"" user@example.com
fi",Create a script to monitor system memory usage and send an alert if it exceeds a certain threshold.,2306
"find . -type f -print0 | xargs -0 grep -I ""needle text""","Search the current directory recursively for files containing ""needle text""",21360
find . -type f -exec sed -i 's/searc/replace/g' {} \;,"Change string ""searc"" to ""replace"" in all files in directory hierarchy",11662
tmpfile=$(mktemp),Creates temporary file and saves path to it in a 'tmpfile' variable.,24478
find ./ -mtime 3,find all the files in the current folder that have been modified exactly 24*3 hours ago,15263
"ifconfig | grep ""inet addr:"" | grep -v ""127.0.0.1"" | grep -Eo '[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}'  | head -1",Gets all IP addresses from host network configuration and prints first one.,24302
screen -X quit,Close the current screen session,11910
grep '^[[:space:]]*http://' | sort -u | nl,"Search for lines that have zero or more whitespace characters before ""http://"" and number the uniquely sorted output",16481
find .*,Search the current directory tree for hidden files,20134
find . -type f -size +10k,display all the regular files in the current folder that are bigger than 10KB,19081
find /u/netinst -print | xargs chgrp staff,change the group of all the files in the folder /u/netinst/ to staff,4464
find . -type f -name INPUT.txt -print0 | xargs -0 -I {}  sed -i.bak '/^#/d' {},"Find all files called ""INPUT.txt"" in the current directory tree and remove lines starting with # in them, saving backup copies as INPUT.txt.bak",19399
fold -w 76 -s file.txt | pr -T --indent=4,"Wrap each line in ""file.txt"" to fit in 76 characters breaking only at spaces and indent the output",24413
"find . -type f -regex "".+-[0-9]+x[0-9]+\.jpg"" -exec rm -rf {} \;","Remove the .jpg files from the current directory whose names match regular expression "".+-[0-9]+x[0-9]+\.jpg""",1489
grep -rnw '/path/' -e 'pattern',"Finds recursively all files in '/path/' that contain 'pattern', and prints matched strings with string number and file name.",5976
alias ff=find . -name $1,"set alias ""ff"" for command ""find . -name $1""",8060
find .  -type f -links +2 -exec ls -lrt {} \;,Find all file which have more the 2 hard link,12700
"find . -iname '*.txt' -type f -exec sed -i '' 's/[[:space:]]\{1,\}$//' {} \+",Remove trailing whitespaces in TXT files from the current directory tree,24398
"find . -name '*[+{;""\\=?~()<>&*|$ ]*' -maxdepth 0 -exec rm -f '{}' \;","Search for file names with ""bad"" characters in the current directory and delete the files.",5706
find . -type f -newerct 2008-09-29 ! -newerct 2008-09-30,"Find all files changed on the 29th of September, 2008, starting from the current directory",20271
find . -name \*.java | tr '\n' '\0' | xargs -0 wc,"Print newline, word, and byte counts of each '*.java' file within current directory, and total newline, word, and byte counts",19005
"#!/bin/bash

ln -s /path/to/source /path/to/destination",Create a symlink to a directory in another location.,13714
split --number=l/6 ${fspec} xyzzy.,"split file ""${fspec} into pieces named as ""xyzzyNNN"" with numeric prefix from 1 to 6",6757
find ~jsmith -exec grep LOG '{}' /dev/null \; -print,search for the word LOG in all the files in the folder ~/jsmith,3032
ls -d */ | xargs -iA cp file.txt A,Make a copy of file.txt in all directories in current directory - names may not contain spaces.,11977
"#!/bin/bash

threshold=100
ping_response=$(ping -c 5 google.com | tail -1 | awk '{print $4}' | cut -d '/' -f 2)
if [ ""$ping_response"" -gt ""$threshold"" ]; then
    echo ""System ICMP ping response time exceeds $threshold ms.""
    # Send alert here
fi",Create a script to monitor system ICMP ping response time and send an alert if it exceeds a certain threshold.,577
"#!/bin/bash

interface=""eth0""

tcpdump -i $interface -w network_traffic.pcap",Monitor network traffic on a specific interface and log the results to a file.,21014
"cd ""$""","Search for Subscription.java under current directory, and go to directory containing it.",1054
readlink -e /foo/bar/baz,"Resolve symbolic link of file ""/foo/bar/baz""",24158
"head -c 10 ""$0"" | tr '\000-\377' '#'",Read 10 bytes from $0 and print them by replacing the set '\000-\377' with '#',7754
logout,Exits from login shell.,22885
sudo chown -R `whoami` /usr/local/lib,recursively change owner of the directory /usr/local/lib to the current user,7656
"find ./ -name ""*.dat"" -type f -cmin +60 -exec basename {} \;",display the names without extensions of all the data files in current folder which have not been changed in the last 60 mins,8049
tar -zxvf $1,extract archive stored in $1,24517
"find . -type f -regex "".+-[0-9]+x[0-9]+\.jpg"" | xargs rm","Remove the .jpg files from the current directory whose names match regular expression "".+-[0-9]+x[0-9]+\.jpg""",11482
find . -type f -size 10k,display all the regular files in the current folder that are exactly 10KB,14718
