nl_cmd
"allow read for user, read for group, and read for others on file <file-name>"," chmod 444 <file-name>"
"set permissions to read for owner, write for group members, and execute for others on <directory-name>","chmod 421 <directory-name>"
"grant read access for user, write for group, and read and write to others for <file-name>"," chmod 426 <file-name>"
"assign read permission to user, write permission to group, and read and write permission to others for <directory-name>","chmod 426 <directory-name>"
"grant read access for user, write for group, and read and write to others for <directory-name>","chmod 426 <directory-name>"
"grant read access for user, write for group, and read and execute to others for <file-name>"," chmod 425 <file-name>"
"set permissions to read for owner, write for group members, and read and execute for others on <directory-name>","chmod 425 <directory-name>"
"assign read permission to user, write permission to group, and read and execute permission to others for <directory-name>","chmod 425 <directory-name>"
"set permissions to read for owner, write for group members, and write and execute for others on <file-name>"," chmod 423 <file-name>"
"assign read permission to user, write permission to group, and write and execute permission to others for <directory-name>","chmod 423 <directory-name>"
"assign read permission to user, write permission to group, and write and execute permission to others for <directory-name>","chmod 423 <directory-name>"
"set permissions to read for owner, write for group members, and all for others on <file-name>"," chmod 427 <file-name>"
"allow read for user, write for group, and all for others on directory/folder <directory-name>","chmod 427 <directory-name>"
"provide read for user, write to group, and all to others for <directory-name>","chmod 427 <directory-name>"
"grant read access for user, write for group, and none to others for <file-name>"," chmod 420 <file-name>"
"provide read for user, write to group, and none to others for <directory-name>","chmod 420 <directory-name>"
"provide read for user, write to group, and none to others for <directory-name>","chmod 420 <directory-name>"
"grant read access for user, execute for group, and read to others for <file-name>"," chmod 414 <file-name>"
"set permissions to read for owner, execute for group members, and read for others on <directory-name>","chmod 414 <directory-name>"
"grant read access for user, execute for group, and read to others for <directory-name>","chmod 414 <directory-name>"
"grant read access for user, execute for group, and write to others for <file-name>"," chmod 412 <file-name>"
"grant read access for user, execute for group, and write to others for <directory-name>","chmod 412 <directory-name>"
"allow read for user, execute for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 412 <directory-name>"
"grant read access for user, execute for group, and execute to others for <file-name>"," chmod 411 <file-name>"
"set permissions to read for owner, execute for group members, and execute for others on <directory-name>","chmod 411 <directory-name>"
"provide read for user, execute to group, and execute to others for <directory-name>","chmod 411 <directory-name>"
"grant read access for user, execute for group, and read and write to others for <file-name>"," chmod 416 <file-name>"
"provide read for user, execute to group, and read and write to others for <directory-name>","chmod 416 <directory-name>"
"grant read access for user, execute for group, and read and write to others for <directory-name>","chmod 416 <directory-name>"
"grant read access for user, execute for group, and read and execute to others for <file-name>"," chmod 415 <file-name>"
"provide read for user, execute to group, and read and execute to others for <directory-name>","chmod 415 <directory-name>"
"provide read for user, execute to group, and read and execute to others for <directory-name>","chmod 415 <directory-name>"
"grant read access for user, execute for group, and write and execute to others for <file-name>"," chmod 413 <file-name>"
"set permissions to read for owner, execute for group members, and write and execute for others on <directory-name>","chmod 413 <directory-name>"
"allow read for user, execute for group, and write and execute for others on directory/folder and its sub-contents <directory-name>","chmod 413 <directory-name>"
"assign read permission to user, execute permission to group, and all permission to others for <file-name>"," chmod 417 <file-name>"
"set permissions to read for owner, execute for group members, and all for others on <directory-name>","chmod 417 <directory-name>"
"provide read for user, execute to group, and all to others for <directory-name>","chmod 417 <directory-name>"
"set permissions to read for owner, execute for group members, and none for others on <file-name>"," chmod 410 <file-name>"
"provide read for user, execute to group, and none to others for <directory-name>","chmod 410 <directory-name>"
"provide read for user, execute to group, and none to others for <directory-name>","chmod 410 <directory-name>"
"grant read access for user, read and write for group, and read to others for <file-name>"," chmod 464 <file-name>"
"provide read for user, read and write to group, and read to others for <directory-name>","chmod 464 <directory-name>"
"set permissions to read for owner, read and write for group members, and read for others on <directory-name>","chmod 464 <directory-name>"
"allow read for user, read and write for group, and write for others on file <file-name>"," chmod 462 <file-name>"
"assign read permission to user, read and write permission to group, and write permission to others for <directory-name>","chmod 462 <directory-name>"
"grant read access for user, read and write for group, and write to others for <directory-name>","chmod 462 <directory-name>"
"assign read permission to user, read and write permission to group, and execute permission to others for <file-name>"," chmod 461 <file-name>"
"assign read permission to user, read and write permission to group, and execute permission to others for <directory-name>","chmod 461 <directory-name>"
"provide read for user, read and write to group, and execute to others for <directory-name>","chmod 461 <directory-name>"
"provide read for user, read and write to group, and read and write to others for <file-name>"," chmod 466 <file-name>"
"grant read access for user, read and write for group, and read and write to others for <directory-name>","chmod 466 <directory-name>"
"set permissions to read for owner, read and write for group members, and read and write for others on <directory-name>","chmod 466 <directory-name>"
"allow read for user, read and write for group, and read and execute for others on file <file-name>"," chmod 465 <file-name>"
"allow read for user, read and write for group, and read and execute for others on directory/folder <directory-name>","chmod 465 <directory-name>"
"provide read for user, read and write to group, and read and execute to others for <directory-name>","chmod 465 <directory-name>"
"set permissions to read for owner, read and write for group members, and write and execute for others on <file-name>"," chmod 463 <file-name>"
"set permissions to read for owner, read and write for group members, and write and execute for others on <directory-name>","chmod 463 <directory-name>"
"set permissions to read for owner, read and write for group members, and write and execute for others on <directory-name>","chmod 463 <directory-name>"
"set permissions to read for owner, read and write for group members, and all for others on <file-name>"," chmod 467 <file-name>"
"allow read for user, read and write for group, and all for others on directory/folder <directory-name>","chmod 467 <directory-name>"
"set permissions to read for owner, read and write for group members, and all for others on <directory-name>","chmod 467 <directory-name>"
"grant read access for user, read and write for group, and none to others for <file-name>"," chmod 460 <file-name>"
"grant read access for user, read and write for group, and none to others for <directory-name>","chmod 460 <directory-name>"
"assign read permission to user, read and write permission to group, and none permission to others for <directory-name>","chmod 460 <directory-name>"
"grant read access for user, read and execute for group, and read to others for <file-name>"," chmod 454 <file-name>"
"grant read access for user, read and execute for group, and read to others for <directory-name>","chmod 454 <directory-name>"
"provide read for user, read and execute to group, and read to others for <directory-name>","chmod 454 <directory-name>"
"grant read access for user, read and execute for group, and write to others for <file-name>"," chmod 452 <file-name>"
"set permissions to read for owner, read and execute for group members, and write for others on <directory-name>","chmod 452 <directory-name>"
"set permissions to read for owner, read and execute for group members, and write for others on <directory-name>","chmod 452 <directory-name>"
"set permissions to read for owner, read and execute for group members, and execute for others on <file-name>"," chmod 451 <file-name>"
"set permissions to read for owner, read and execute for group members, and execute for others on <directory-name>","chmod 451 <directory-name>"
"provide read for user, read and execute to group, and execute to others for <directory-name>","chmod 451 <directory-name>"
"assign read permission to user, read and execute permission to group, and read and write permission to others for <file-name>"," chmod 456 <file-name>"
"set permissions to read for owner, read and execute for group members, and read and write for others on <directory-name>","chmod 456 <directory-name>"
"grant read access for user, read and execute for group, and read and write to others for <directory-name>","chmod 456 <directory-name>"
"assign read permission to user, read and execute permission to group, and read and execute permission to others for <file-name>"," chmod 455 <file-name>"
"provide read for user, read and execute to group, and read and execute to others for <directory-name>","chmod 455 <directory-name>"
"set permissions to read for owner, read and execute for group members, and read and execute for others on <directory-name>","chmod 455 <directory-name>"
"set permissions to read for owner, read and execute for group members, and write and execute for others on <file-name>"," chmod 453 <file-name>"
"allow read for user, read and execute for group, and write and execute for others on directory/folder <directory-name>","chmod 453 <directory-name>"
"provide read for user, read and execute to group, and write and execute to others for <directory-name>","chmod 453 <directory-name>"
"provide read for user, read and execute to group, and all to others for <file-name>"," chmod 457 <file-name>"
"provide read for user, read and execute to group, and all to others for <directory-name>","chmod 457 <directory-name>"
"set permissions to read for owner, read and execute for group members, and all for others on <directory-name>","chmod 457 <directory-name>"
"allow read for user, read and execute for group, and none for others on file <file-name>"," chmod 450 <file-name>"
"grant read access for user, read and execute for group, and none to others for <directory-name>","chmod 450 <directory-name>"
"provide read for user, read and execute to group, and none to others for <directory-name>","chmod 450 <directory-name>"
"grant read access for user, write and execute for group, and read to others for <file-name>"," chmod 434 <file-name>"
"set permissions to read for owner, write and execute for group members, and read for others on <directory-name>","chmod 434 <directory-name>"
"assign read permission to user, write and execute permission to group, and read permission to others for <directory-name>","chmod 434 <directory-name>"
"allow read for user, write and execute for group, and write for others on file <file-name>"," chmod 432 <file-name>"
"set permissions to read for owner, write and execute for group members, and write for others on <directory-name>","chmod 432 <directory-name>"
"allow read for user, write and execute for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 432 <directory-name>"
"assign read permission to user, write and execute permission to group, and execute permission to others for <file-name>"," chmod 431 <file-name>"
"set permissions to read for owner, write and execute for group members, and execute for others on <directory-name>","chmod 431 <directory-name>"
"grant read access for user, write and execute for group, and execute to others for <directory-name>","chmod 431 <directory-name>"
"provide read for user, write and execute to group, and read and write to others for <file-name>"," chmod 436 <file-name>"
"assign read permission to user, write and execute permission to group, and read and write permission to others for <directory-name>","chmod 436 <directory-name>"
"grant read access for user, write and execute for group, and read and write to others for <directory-name>","chmod 436 <directory-name>"
"allow read for user, write and execute for group, and read and execute for others on file <file-name>"," chmod 435 <file-name>"
"set permissions to read for owner, write and execute for group members, and read and execute for others on <directory-name>","chmod 435 <directory-name>"
"assign read permission to user, write and execute permission to group, and read and execute permission to others for <directory-name>","chmod 435 <directory-name>"
"allow read for user, write and execute for group, and write and execute for others on file <file-name>"," chmod 433 <file-name>"
"set permissions to read for owner, write and execute for group members, and write and execute for others on <directory-name>","chmod 433 <directory-name>"
"assign read permission to user, write and execute permission to group, and write and execute permission to others for <directory-name>","chmod 433 <directory-name>"
"provide read for user, write and execute to group, and all to others for <file-name>"," chmod 437 <file-name>"
"provide read for user, write and execute to group, and all to others for <directory-name>","chmod 437 <directory-name>"
"assign read permission to user, write and execute permission to group, and all permission to others for <directory-name>","chmod 437 <directory-name>"
"allow read for user, write and execute for group, and none for others on file <file-name>"," chmod 430 <file-name>"
"grant read access for user, write and execute for group, and none to others for <directory-name>","chmod 430 <directory-name>"
"provide read for user, write and execute to group, and none to others for <directory-name>","chmod 430 <directory-name>"
"set permissions to read for owner, all for group members, and read for others on <file-name>"," chmod 474 <file-name>"
"allow read for user, all for group, and read for others on directory/folder <directory-name>","chmod 474 <directory-name>"
"set permissions to read for owner, all for group members, and read for others on <directory-name>","chmod 474 <directory-name>"
"assign read permission to user, all permission to group, and write permission to others for <file-name>"," chmod 472 <file-name>"
"set permissions to read for owner, all for group members, and write for others on <directory-name>","chmod 472 <directory-name>"
"assign read permission to user, all permission to group, and write permission to others for <directory-name>","chmod 472 <directory-name>"
"allow read for user, all for group, and execute for others on file <file-name>"," chmod 471 <file-name>"
"assign read permission to user, all permission to group, and execute permission to others for <directory-name>","chmod 471 <directory-name>"
"grant read access for user, all for group, and execute to others for <directory-name>","chmod 471 <directory-name>"
"assign read permission to user, all permission to group, and read and write permission to others for <file-name>"," chmod 476 <file-name>"
"grant read access for user, all for group, and read and write to others for <directory-name>","chmod 476 <directory-name>"
"set permissions to read for owner, all for group members, and read and write for others on <directory-name>","chmod 476 <directory-name>"
"set permissions to read for owner, all for group members, and read and execute for others on <file-name>"," chmod 475 <file-name>"
"set permissions to read for owner, all for group members, and read and execute for others on <directory-name>","chmod 475 <directory-name>"
"allow read for user, all for group, and read and execute for others on directory/folder and its sub-contents <directory-name>","chmod 475 <directory-name>"
"grant read access for user, all for group, and write and execute to others for <file-name>"," chmod 473 <file-name>"
"grant read access for user, all for group, and write and execute to others for <directory-name>","chmod 473 <directory-name>"
"allow read for user, all for group, and write and execute for others on directory/folder and its sub-contents <directory-name>","chmod 473 <directory-name>"
"allow read for user, all for group, and all for others on file <file-name>"," chmod 477 <file-name>"
"allow read for user, all for group, and all for others on directory/folder <directory-name>","chmod 477 <directory-name>"
"set permissions to read for owner, all for group members, and all for others on <directory-name>","chmod 477 <directory-name>"
"set permissions to read for owner, all for group members, and none for others on <file-name>"," chmod 470 <file-name>"
"set permissions to read for owner, all for group members, and none for others on <directory-name>","chmod 470 <directory-name>"
"assign read permission to user, all permission to group, and none permission to others for <directory-name>","chmod 470 <directory-name>"
"set permissions to read for owner, none for group members, and read for others on <file-name>"," chmod 404 <file-name>"
"allow read for user, none for group, and read for others on directory/folder <directory-name>","chmod 404 <directory-name>"
"assign read permission to user, none permission to group, and read permission to others for <directory-name>","chmod 404 <directory-name>"
"set permissions to read for owner, none for group members, and write for others on <file-name>"," chmod 402 <file-name>"
"set permissions to read for owner, none for group members, and write for others on <directory-name>","chmod 402 <directory-name>"
"grant read access for user, none for group, and write to others for <directory-name>","chmod 402 <directory-name>"
"assign read permission to user, none permission to group, and execute permission to others for <file-name>"," chmod 401 <file-name>"
"set permissions to read for owner, none for group members, and execute for others on <directory-name>","chmod 401 <directory-name>"
"grant read access for user, none for group, and execute to others for <directory-name>","chmod 401 <directory-name>"
"set permissions to read for owner, none for group members, and read and write for others on <file-name>"," chmod 406 <file-name>"
"provide read for user, none to group, and read and write to others for <directory-name>","chmod 406 <directory-name>"
"provide read for user, none to group, and read and write to others for <directory-name>","chmod 406 <directory-name>"
"grant read access for user, none for group, and read and execute to others for <file-name>"," chmod 405 <file-name>"
"assign read permission to user, none permission to group, and read and execute permission to others for <directory-name>","chmod 405 <directory-name>"
"provide read for user, none to group, and read and execute to others for <directory-name>","chmod 405 <directory-name>"
"set permissions to read for owner, none for group members, and write and execute for others on <file-name>"," chmod 403 <file-name>"
"assign read permission to user, none permission to group, and write and execute permission to others for <directory-name>","chmod 403 <directory-name>"
"provide read for user, none to group, and write and execute to others for <directory-name>","chmod 403 <directory-name>"
"grant read access for user, none for group, and all to others for <file-name>"," chmod 407 <file-name>"
"allow read for user, none for group, and all for others on directory/folder <directory-name>","chmod 407 <directory-name>"
"grant read access for user, none for group, and all to others for <directory-name>","chmod 407 <directory-name>"
"allow read for user, none for group, and none for others on file <file-name>"," chmod 400 <file-name>"
"set permissions to read for owner, none for group members, and none for others on <directory-name>","chmod 400 <directory-name>"
"allow read for user, none for group, and none for others on directory/folder and its sub-contents <directory-name>","chmod 400 <directory-name>"
"allow write for user, read for group, and read for others on file <file-name>"," chmod 244 <file-name>"
"assign write permission to user, read permission to group, and read permission to others for <directory-name>","chmod 244 <directory-name>"
"assign write permission to user, read permission to group, and read permission to others for <directory-name>","chmod 244 <directory-name>"
"grant write access for user, read for group, and write to others for <file-name>"," chmod 242 <file-name>"
"grant write access for user, read for group, and write to others for <directory-name>","chmod 242 <directory-name>"
"provide write for user, read to group, and write to others for <directory-name>","chmod 242 <directory-name>"
"assign write permission to user, read permission to group, and execute permission to others for <file-name>"," chmod 241 <file-name>"
"grant write access for user, read for group, and execute to others for <directory-name>","chmod 241 <directory-name>"
"set permissions to write for owner, read for group members, and execute for others on <directory-name>","chmod 241 <directory-name>"
"set permissions to write for owner, read for group members, and read and write for others on <file-name>"," chmod 246 <file-name>"
"grant write access for user, read for group, and read and write to others for <directory-name>","chmod 246 <directory-name>"
"set permissions to write for owner, read for group members, and read and write for others on <directory-name>","chmod 246 <directory-name>"
"assign write permission to user, read permission to group, and read and execute permission to others for <file-name>"," chmod 245 <file-name>"
"grant write access for user, read for group, and read and execute to others for <directory-name>","chmod 245 <directory-name>"
"provide write for user, read to group, and read and execute to others for <directory-name>","chmod 245 <directory-name>"
"set permissions to write for owner, read for group members, and write and execute for others on <file-name>"," chmod 243 <file-name>"
"provide write for user, read to group, and write and execute to others for <directory-name>","chmod 243 <directory-name>"
"allow write for user, read for group, and write and execute for others on directory/folder and its sub-contents <directory-name>","chmod 243 <directory-name>"
"provide write for user, read to group, and all to others for <file-name>"," chmod 247 <file-name>"
"allow write for user, read for group, and all for others on directory/folder <directory-name>","chmod 247 <directory-name>"
"provide write for user, read to group, and all to others for <directory-name>","chmod 247 <directory-name>"
"provide write for user, read to group, and none to others for <file-name>"," chmod 240 <file-name>"
"set permissions to write for owner, read for group members, and none for others on <directory-name>","chmod 240 <directory-name>"
"set permissions to write for owner, read for group members, and none for others on <directory-name>","chmod 240 <directory-name>"
"provide write for user, write to group, and read to others for <file-name>"," chmod 224 <file-name>"
"allow write for user, write for group, and read for others on directory/folder <directory-name>","chmod 224 <directory-name>"
"allow write for user, write for group, and read for others on directory/folder and its sub-contents <directory-name>","chmod 224 <directory-name>"
"assign write permission to user, write permission to group, and write permission to others for <file-name>"," chmod 222 <file-name>"
"grant write access for user, write for group, and write to others for <directory-name>","chmod 222 <directory-name>"
"grant write access for user, write for group, and write to others for <directory-name>","chmod 222 <directory-name>"
"provide write for user, write to group, and execute to others for <file-name>"," chmod 221 <file-name>"
"provide write for user, write to group, and execute to others for <directory-name>","chmod 221 <directory-name>"
"grant write access for user, write for group, and execute to others for <directory-name>","chmod 221 <directory-name>"
"assign write permission to user, write permission to group, and read and write permission to others for <file-name>"," chmod 226 <file-name>"
"assign write permission to user, write permission to group, and read and write permission to others for <directory-name>","chmod 226 <directory-name>"
"assign write permission to user, write permission to group, and read and write permission to others for <directory-name>","chmod 226 <directory-name>"
"grant write access for user, write for group, and read and execute to others for <file-name>"," chmod 225 <file-name>"
"assign write permission to user, write permission to group, and read and execute permission to others for <directory-name>","chmod 225 <directory-name>"
"allow write for user, write for group, and read and execute for others on directory/folder and its sub-contents <directory-name>","chmod 225 <directory-name>"
"grant write access for user, write for group, and write and execute to others for <file-name>"," chmod 223 <file-name>"
"grant write access for user, write for group, and write and execute to others for <directory-name>","chmod 223 <directory-name>"
"allow write for user, write for group, and write and execute for others on directory/folder and its sub-contents <directory-name>","chmod 223 <directory-name>"
"allow write for user, write for group, and all for others on file <file-name>"," chmod 227 <file-name>"
"allow write for user, write for group, and all for others on directory/folder <directory-name>","chmod 227 <directory-name>"
"assign write permission to user, write permission to group, and all permission to others for <directory-name>","chmod 227 <directory-name>"
"provide write for user, write to group, and none to others for <file-name>"," chmod 220 <file-name>"
"allow write for user, write for group, and none for others on directory/folder <directory-name>","chmod 220 <directory-name>"
"provide write for user, write to group, and none to others for <directory-name>","chmod 220 <directory-name>"
"provide write for user, execute to group, and read to others for <file-name>"," chmod 214 <file-name>"
"grant write access for user, execute for group, and read to others for <directory-name>","chmod 214 <directory-name>"
"grant write access for user, execute for group, and read to others for <directory-name>","chmod 214 <directory-name>"
"grant write access for user, execute for group, and write to others for <file-name>"," chmod 212 <file-name>"
"grant write access for user, execute for group, and write to others for <directory-name>","chmod 212 <directory-name>"
"set permissions to write for owner, execute for group members, and write for others on <directory-name>","chmod 212 <directory-name>"
"provide write for user, execute to group, and execute to others for <file-name>"," chmod 211 <file-name>"
"assign write permission to user, execute permission to group, and execute permission to others for <directory-name>","chmod 211 <directory-name>"
"allow write for user, execute for group, and execute for others on directory/folder and its sub-contents <directory-name>","chmod 211 <directory-name>"
"assign write permission to user, execute permission to group, and read and write permission to others for <file-name>"," chmod 216 <file-name>"
"set permissions to write for owner, execute for group members, and read and write for others on <directory-name>","chmod 216 <directory-name>"
"assign write permission to user, execute permission to group, and read and write permission to others for <directory-name>","chmod 216 <directory-name>"
"allow write for user, execute for group, and read and execute for others on file <file-name>"," chmod 215 <file-name>"
"grant write access for user, execute for group, and read and execute to others for <directory-name>","chmod 215 <directory-name>"
"provide write for user, execute to group, and read and execute to others for <directory-name>","chmod 215 <directory-name>"
"grant write access for user, execute for group, and write and execute to others for <file-name>"," chmod 213 <file-name>"
"provide write for user, execute to group, and write and execute to others for <directory-name>","chmod 213 <directory-name>"
"set permissions to write for owner, execute for group members, and write and execute for others on <directory-name>","chmod 213 <directory-name>"
"set permissions to write for owner, execute for group members, and all for others on <file-name>"," chmod 217 <file-name>"
"grant write access for user, execute for group, and all to others for <directory-name>","chmod 217 <directory-name>"
"set permissions to write for owner, execute for group members, and all for others on <directory-name>","chmod 217 <directory-name>"
"grant write access for user, execute for group, and none to others for <file-name>"," chmod 210 <file-name>"
"assign write permission to user, execute permission to group, and none permission to others for <directory-name>","chmod 210 <directory-name>"
"provide write for user, execute to group, and none to others for <directory-name>","chmod 210 <directory-name>"
"grant write access for user, read and write for group, and read to others for <file-name>"," chmod 264 <file-name>"
"assign write permission to user, read and write permission to group, and read permission to others for <directory-name>","chmod 264 <directory-name>"
"set permissions to write for owner, read and write for group members, and read for others on <directory-name>","chmod 264 <directory-name>"
"allow write for user, read and write for group, and write for others on file <file-name>"," chmod 262 <file-name>"
"provide write for user, read and write to group, and write to others for <directory-name>","chmod 262 <directory-name>"
"allow write for user, read and write for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 262 <directory-name>"
"provide write for user, read and write to group, and execute to others for <file-name>"," chmod 261 <file-name>"
"assign write permission to user, read and write permission to group, and execute permission to others for <directory-name>","chmod 261 <directory-name>"
"set permissions to write for owner, read and write for group members, and execute for others on <directory-name>","chmod 261 <directory-name>"
"assign write permission to user, read and write permission to group, and read and write permission to others for <file-name>"," chmod 266 <file-name>"
"grant write access for user, read and write for group, and read and write to others for <directory-name>","chmod 266 <directory-name>"
"set permissions to write for owner, read and write for group members, and read and write for others on <directory-name>","chmod 266 <directory-name>"
"allow write for user, read and write for group, and read and execute for others on file <file-name>"," chmod 265 <file-name>"
"allow write for user, read and write for group, and read and execute for others on directory/folder <directory-name>","chmod 265 <directory-name>"
"grant write access for user, read and write for group, and read and execute to others for <directory-name>","chmod 265 <directory-name>"
"allow write for user, read and write for group, and write and execute for others on file <file-name>"," chmod 263 <file-name>"
"set permissions to write for owner, read and write for group members, and write and execute for others on <directory-name>","chmod 263 <directory-name>"
"grant write access for user, read and write for group, and write and execute to others for <directory-name>","chmod 263 <directory-name>"
"set permissions to write for owner, read and write for group members, and all for others on <file-name>"," chmod 267 <file-name>"
"allow write for user, read and write for group, and all for others on directory/folder <directory-name>","chmod 267 <directory-name>"
"grant write access for user, read and write for group, and all to others for <directory-name>","chmod 267 <directory-name>"
"allow write for user, read and write for group, and none for others on file <file-name>"," chmod 260 <file-name>"
"provide write for user, read and write to group, and none to others for <directory-name>","chmod 260 <directory-name>"
"provide write for user, read and write to group, and none to others for <directory-name>","chmod 260 <directory-name>"
"allow write for user, read and execute for group, and read for others on file <file-name>"," chmod 254 <file-name>"
"assign write permission to user, read and execute permission to group, and read permission to others for <directory-name>","chmod 254 <directory-name>"
"provide write for user, read and execute to group, and read to others for <directory-name>","chmod 254 <directory-name>"
"assign write permission to user, read and execute permission to group, and write permission to others for <file-name>"," chmod 252 <file-name>"
"grant write access for user, read and execute for group, and write to others for <directory-name>","chmod 252 <directory-name>"
"allow write for user, read and execute for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 252 <directory-name>"
"assign write permission to user, read and execute permission to group, and execute permission to others for <file-name>"," chmod 251 <file-name>"
"allow write for user, read and execute for group, and execute for others on directory/folder <directory-name>","chmod 251 <directory-name>"
"assign write permission to user, read and execute permission to group, and execute permission to others for <directory-name>","chmod 251 <directory-name>"
"set permissions to write for owner, read and execute for group members, and read and write for others on <file-name>"," chmod 256 <file-name>"
"allow write for user, read and execute for group, and read and write for others on directory/folder <directory-name>","chmod 256 <directory-name>"
"grant write access for user, read and execute for group, and read and write to others for <directory-name>","chmod 256 <directory-name>"
"provide write for user, read and execute to group, and read and execute to others for <file-name>"," chmod 255 <file-name>"
"grant write access for user, read and execute for group, and read and execute to others for <directory-name>","chmod 255 <directory-name>"
"allow write for user, read and execute for group, and read and execute for others on directory/folder and its sub-contents <directory-name>","chmod 255 <directory-name>"
"grant write access for user, read and execute for group, and write and execute to others for <file-name>"," chmod 253 <file-name>"
"provide write for user, read and execute to group, and write and execute to others for <directory-name>","chmod 253 <directory-name>"
"set permissions to write for owner, read and execute for group members, and write and execute for others on <directory-name>","chmod 253 <directory-name>"
"grant write access for user, read and execute for group, and all to others for <file-name>"," chmod 257 <file-name>"
"grant write access for user, read and execute for group, and all to others for <directory-name>","chmod 257 <directory-name>"
"assign write permission to user, read and execute permission to group, and all permission to others for <directory-name>","chmod 257 <directory-name>"
"set permissions to write for owner, read and execute for group members, and none for others on <file-name>"," chmod 250 <file-name>"
"provide write for user, read and execute to group, and none to others for <directory-name>","chmod 250 <directory-name>"
"provide write for user, read and execute to group, and none to others for <directory-name>","chmod 250 <directory-name>"
"grant write access for user, write and execute for group, and read to others for <file-name>"," chmod 234 <file-name>"
"set permissions to write for owner, write and execute for group members, and read for others on <directory-name>","chmod 234 <directory-name>"
"assign write permission to user, write and execute permission to group, and read permission to others for <directory-name>","chmod 234 <directory-name>"
"assign write permission to user, write and execute permission to group, and write permission to others for <file-name>"," chmod 232 <file-name>"
"provide write for user, write and execute to group, and write to others for <directory-name>","chmod 232 <directory-name>"
"set permissions to write for owner, write and execute for group members, and write for others on <directory-name>","chmod 232 <directory-name>"
"assign write permission to user, write and execute permission to group, and execute permission to others for <file-name>"," chmod 231 <file-name>"
"provide write for user, write and execute to group, and execute to others for <directory-name>","chmod 231 <directory-name>"
"assign write permission to user, write and execute permission to group, and execute permission to others for <directory-name>","chmod 231 <directory-name>"
"allow write for user, write and execute for group, and read and write for others on file <file-name>"," chmod 236 <file-name>"
"assign write permission to user, write and execute permission to group, and read and write permission to others for <directory-name>","chmod 236 <directory-name>"
"provide write for user, write and execute to group, and read and write to others for <directory-name>","chmod 236 <directory-name>"
"grant write access for user, write and execute for group, and read and execute to others for <file-name>"," chmod 235 <file-name>"
"grant write access for user, write and execute for group, and read and execute to others for <directory-name>","chmod 235 <directory-name>"
"allow write for user, write and execute for group, and read and execute for others on directory/folder and its sub-contents <directory-name>","chmod 235 <directory-name>"
"assign write permission to user, write and execute permission to group, and write and execute permission to others for <file-name>"," chmod 233 <file-name>"
